ACQUIN;0
AFFRINGUES;0
AGNIERES;1
AIRE SUR LA LYS;6
ALLOUAGNE;2
ALQUINES;0
AMBRINES;1
AMES;3
AMETTES;3
ANNEQUIN;4
ANNEZIN;2
ANVIN;1
ARQUES;6
AUBIGNY EN ARTOIS;1
AUBROMETZ;1
AUCHEL;3
AUCHY AU BOIS;3
AUCHY LES HESDIN;1
AUDINCTHUN;6
AUDREHEM;0
AUMERVAL;1
AUXI LE CHATEAU;1
AVERDOINGT;1
AVESNES LE COMTE;1
AVROULT;6
AZINCOURT;1
BAILLEUL AUX CORNAILLES;1
BAILLEUL LES PERNES;1
BAJUS;1
BARLIN;5
BARLY;1
BAVINCOURT;1
BAYENGHEM LES EPERLECQUES;0
BAYENGHEM LES SENINGHEM;0
BEALENCOURT;1
BEAUDRICOURT;1
BEAUFORT BLAVINCOURT;1
BEAUMETZ LES AIRE;6
BEAUVOIR WAVANS;1
BEAUVOIS;1
BERGUENEUSE;1
BERGUETTE;3
BERLENCOURT LE CAUROY;1
BERLES MONCHEL;1
BERMICOURT;1
BETHONSART;1
BETHUNE;2
BEUGIN;5
BEUVRY;4
BLANGERMONT;1
BLANGERVAL;1
BLANGY SUR TERNOISE;1
BLENDECQUES;6
BLEQUIN;0
BLESSY;3
BLINGEL;1
BOFFLES;1
BOISDINGHEM;0
BOMY;6
BONNIERES;1
BONNINGUES LES ARDRES;0
BOUBERS SUR CANCHE;1
BOUQUEHAULT;3
BOURECQ;1
BOURNONVILLE;1
BOURTHES;0
BOUVELINGHEM;4
BOUVIGNY BOYEFFLES;1
BRIMEUX;5
BRUNEMBERT;1
BUCQUOY;1
BULLY LES MINES;1
BUNEVILLE;3
BUS;3
CALAIS;3
CALONNE RICOUART;3
CALONNE SUR LA LYS;5
CAMBLAIN CHATELAIN;1
CAMBLAIN L'ABBE;1
CAMBLIGNEUL;4
CAMPAGNE LES HESDIN;6
CAMPIGNEULLES LES PETITES;1
CANLERS;1
CANTELEUX;1
CAUCHY A LA TOUR;3
CAUCOURT;5
CHELERS;1
CHOCQUES;2
CLAIRMARAIS;0
CLARQUES;6
CLETY;6
CONCHY SUR CANCHE;1
CONTEVILLE EN TERNOIS;1
COULLEMONT;1
COULOMBY;0
COUTURELLE;1
COYECQUES;6
CROISETTE;1
CROIX EN TERNOIS;1
CUINCHY LES LA BASSEE;4
DELETTES;6
DENIER;1
DENNEBROEUCQ;6
DIEVAL;1
DIVION;5
DOHEM;6
DROUVIN LE MARAIS;2
ECLIMEUX;1
ECOIVRES;1
ECQUEDECQUES;3
ECQUES;6
ELNES;0
ENGUINEGATTE;6
ENQUIN SUR BAILLONS;6
EPERLECQUES;0
EPS;1
EQUIRES;1
ERIN;1
ERNY ST JULIEN;6
ERQUIERES;1
ESCOEUILLES;0
ESQUERDES;6
ESSARS;2
ESTREE;3
ESTREE BLANCHE;5
ESTREE CAUCHY;1
FAUQUEMBERGUES;6
FEBVIN PALFART;6
FERFAY;3
FESTUBERT;4
FIEFS;1
FILLIEVRES;1
FLECHIN;6
FLERS;1
FLEURBAIX;4
FLEURY;1
FLORINGHEM;1
FONTAINE L'ETALON;1
FONTAINE LES BOULANS;1
FONTAINE LES HERMANS;1
FORTEL EN ARTOIS;1
FOUFFLIN RICAMETZ;1
FOUQUEREUIL;2
FOUQUIERES LES BETHUNE;2
FRAMECOURT;1
FRESNICOURT LE DOLMEN;5
FRESNOY;1
FREVENT;1
FREVILLERS;1
FREVIN CAPELLE;1
GALAMETZ;1
GAUCHIN LE GAL;5
GAUCHIN VERLOINGT;1
GENNES EN IVERGNY;1
GIVENCHY LE NOBLE;1
GIVENCHY LES LA BASSEE;4
GONNEHEM;3
GOSNAY;5
GOUY EN 1;1
GOUY SERVINS;4
GRENAY;1
GRINCOURT LES PAS;1
GUARBECQUE;3
GUEMY;0
GUINECOURT;1
HAILLICOURT;5
HALINGHEN;6
HAM EN ARTOIS;3
HARAVESNES;1
HAUT LOQUIN;0
HAUT MAINIL;1
HAUTECLOQUE;1
HAUTECOTE;1
HAUTEVILLE;1
HELFAUT;6
HERBELLES;6
HERICOURT;1
HERLIN LE SEC;1
HERLINCOURT;1
HERMAVILLE;1
HERMIN;5
HERNICOURT;1
HERSIN COUPIGNY;4
HESDIGNEUL LES BETHUNE;5
HESTRUS;1
HEUCHIN;1
HEURINGHEM;6
HINGES;2
HOUCHIN;2
HOUDAIN;5
HOULLE;0
HOUVIN HOUVIGNEUL;1
HUCLIER;1
HUMEROEUILLE;1
HUMIERES;1
INCOURT;1
INGHEM;6
ISBERGUES;3
IVERGNY;1
IZEL LES HAMEAUX;1
JOURNY;0
LA CAUCHIE;1
LA COMTE;2
LA MADELAINE SOUS MONTREUIL;1
LA THIEULOYE;2
LABEUVRIERE;4
LACRES;6
LAGNICOURT MARCEL;3
LANDRETHUN LE NORD;2
LANDRETHUN LES ARDRES;1
LAPUGNOY;4
LATTRES ST QUENTIN;1
LAVENTIE;1
LE PONCHEL;1
LE QUESNOY EN ARTOIS;1
LEBUCQUIERE;0
LEFAUX;0
LEPINE;3
LESPINOY;2
LEUBRINGHEM;0
LICQUES;1
LIENCOURT;3
LIERES;3
LIEVIN;1
LIGNEREUIL;3
LIGNY LES AIRE;1
LIGNY ST FLOCHEL;1
LIGNY THILLOY;3
LILLERS;3
LINGHEM;1
LINZEUX;1
LISBOURG;2
LONGFOSSE;0
LOOS EN GOHELLE;4
LOUCHES;3
LUGY;0
MAGNICOURT EN COMTE;1
MAINTENAY;1
MAISNIL;5
MAISNIL LES RUITZ;1
MAISONCELLE;1
MAIZIERES;6
MAMETZ;1
MARESQUELLE ECQUEMICOURT;1
MARESVILLE;2
MAROEUIL;1
MAZINGARBE;3
MENNEVILLE;0
MERCATEL;6
MEURCHIN;1
MINGOVAL;3
MONCHEAUX LES FREVENT;1
MONCHEL SUR CANCHE;1
MONCHY BRETON;1
MONCHY CAYEUX;1
MONT BERNANCHON;3
MONTREUIL SUR MER;1
MORCHIES;0
MORY;0
MOYENNEVILLE;0
NABRINGHEN;1
NEDON;1
NEUFCHATEL HARDELOT;1
NEULETTE;4
NEUVE CHAPELLE;1
NIELLES LES ARDRES;0
NIELLES LES CALAIS;1
NOEUX LES AUXI;4
NOEUX LES MINES;0
NOREUIL;3
NORRENT FONTES;0
NOUVELLE EGLISE;1
NOYELLE VION;1
NOYELLES LES HUMIERES;1
NOYELLES LES VERMELLES;4
NOYELLETTE;1
OBLINGHEM;1
ORVILLE;1
OSTREVILLE;5
OUTREAU;6
PAS EN ARTOIS;1
PELVES;1
PERNES LES BOULOGNE;1
PEUPLINGUES;6
POMMIER;1
PONT A VENDIN;1
QUEANT;0
QUELMES;3
QUESTRECQUES;6
QUIESTEDE;1
QUOEUX HAUT MAINIL;6
RACQUIGHEM;1
RADINGHEM;5
RANSART;6
RAYE SUR AUTHIE;0
REBECQUES;5
REBERGUES;1
REBREUVE RANCHICOURT;5
REBREUVE SUR CANCHE;1
REBREUVE SUR LES MONTS;6
RECOURT;0
RECQUES SUR HEM;3
REGNAUVILLE;6
REMILLY WIRQUIN;6
RENTY;4
RINXENT;3
ROCQUIGNY;1
ROELLECOURT;1
ROEUX;3
ROLLANCOURT;6
ROMBLY;1
ROYON;5
RUMAUCOURT;0
